Target,Probe AS,Group ID,Country,Probe Count,Latitude,Longitude,Neighbor Count,Neighbors,Probe IDs,Median RTT (ms),RTT Range (ms),Min RTT (ms),Max RTT (ms)
Blizzard AS57976,AS13037,AS13037-1,GB,2,51.763000000000005,-1.291,2,"AS13037, AS34984","1003312, 23071",13.702,3.8500000000000014,11.777,15.627
Blizzard AS57976,AS13045,AS13045-1,DE,5,52.27290000000001,9.9145,2,"AS3320, AS3356","22340, 233, 51214, 53443, 61316",11.161,3.394,10.1375,13.5315
Blizzard AS57976,AS13046,AS13046-1,HR,2,45.638999999999996,15.739,2,"AS1299, AS3320","60673, 65705",30.891,9.041999999999998,26.37,35.412
Blizzard AS57976,AS15704,AS15704-1,ES,7,41.51435714285714,2.2495000000000003,3,"AS1299, AS3356, AS5511","1001603, 15873, 18530, 52963, 55263, 60555, 60944",33.7335,5.317000000000004,31.685,37.002
Blizzard AS57976,AS200924,AS200924-1,DE,2,48.235,8.608,2,"AS1299, AS3356","1008424, 51017",21.90125,12.614500000000001,15.594,28.2085
Blizzard AS57976,AS20712,AS20712-1,GB,23,51.93380434782608,-0.593195652173913,2,"AS20712, AS34984","1002237, 1002821, 1005107, 1008845, 1008846, 1010067, 12049, 12359, 12378, 12847, 16928, 19533, 209, 21345, 22037, 26102, 3570, 50870, 51404, 53849, 55104, 55214, 60273",13.917,20.255,9.331,29.586
Blizzard AS57976,AS207790,AS207790-1,DE,4,54.029250000000005,9.293,2,"AS1299, AS3356","1006423, 30729, 35503, 50412",9.678,1.9559999999999995,9.111,11.067
Blizzard AS57976,AS2119,AS2119-1,SE,6,59.327333333333335,18.069833333333335,2,"AS12552, AS2119","14746, 19651, 2351, 27955, 40, 55388",27.109499999999997,4.561,25.73,30.291
Blizzard AS57976,AS28685,AS28685-1,NL,4,52.2725,5.2635000000000005,2,"AS28685, AS8455","10988, 12765, 20482, 4877",6.529,5.2995,1.993,7.2925
Blizzard AS57976,AS29518,AS29518-1,SE,3,55.79416666666666,13.0685,2,"AS12552, AS29518","1009117, 17918, 62777",40.014,2.9739999999999966,39.212,42.186
Blizzard AS57976,AS29695,AS29695-1,NO,10,59.643600000000006,10.354600000000001,3,"AS1299, AS29695, AS3356","1001345, 16769, 19479, 20299, 26854, 28369, 33519, 35478, 54513, 64234",25.169,6.591999999999999,22.468,29.06
Blizzard AS57976,AS30764,AS30764-1,CZ,6,49.822333333333326,18.220833333333335,2,"AS1299, AS3356","1000035, 1000197, 1003440, 1007204, 14341, 53824",26.75425,4.3344999999999985,25.634500000000003,29.969
