Target,Group ID,Probe ID,Probe AS,Country,City,Latitude,Longitude,Median RTT (ms),Neighbor AS,Path Stable,AS Path,Path Count,Path Percentage
Blizzard AS57976,AS13037-1,1003312,AS13037,GB,Unknown,51.7485,-1.2925,15.627,AS34984,True,"[Private, AS13037, AS34984, AS57976]",38,100.0
Blizzard AS57976,AS13037-1,23071,AS13037,GB,Unknown,51.7775,-1.2895,11.777,AS13037,True,"[Private, AS13037, AS57976]",672,100.0
Blizzard AS57976,AS13045-1,22340,AS13045,DE,Unknown,52.2775,10.5295,13.5315,AS3320,False,"[Private, AS13045, AS3320, AS57976]",623,92.70833333333334
Blizzard AS57976,AS13045-1,233,AS13045,DE,Unknown,52.2085,9.5585,11.769,AS3356,False,"[Private, AS13045, AS3356, AS57976]",670,99.70238095238096
Blizzard AS57976,AS13045-1,51214,AS13045,DE,Unknown,52.3195,9.8175,10.1375,AS3356,True,"[AS13045, AS3356, AS57976]",672,100.0
Blizzard AS57976,AS13045-1,53443,AS13045,DE,Unknown,52.2585,9.7595,11.161,AS3356,True,"[Private, AS13045, AS3356, AS57976]",670,100.0
Blizzard AS57976,AS13045-1,61316,AS13045,DE,Unknown,52.3005,9.9075,10.917,AS3356,True,"[Private, AS13045, AS3356, AS57976]",672,100.0
Blizzard AS57976,AS13046-1,60673,AS13046,HR,Unknown,45.7985,15.9405,35.412,AS1299,True,"[AS13046, AS1299, AS57976]",672,100.0
Blizzard AS57976,AS13046-1,65705,AS13046,HR,Unknown,45.4795,15.5375,26.37,AS3320,False,"[Private, CGNAT, Private, AS5391, AS3320, AS57976]",671,99.85119047619048
Blizzard AS57976,AS15704-1,1001603,AS15704,ES,Unknown,41.4885,2.1875,36.493,AS5511,True,"[Private, AS5511, AS57976]",672,100.0
Blizzard AS57976,AS15704-1,15873,AS15704,ES,Unknown,41.9285,2.2605,32.956500000000005,AS1299,True,"[Private, AS15704, Private, AS1299, AS57976]",672,100.0
Blizzard AS57976,AS15704-1,18530,AS15704,ES,Unknown,41.5875,2.5785,34.319,AS1299,False,"[Private, AS15704, Private, AS1299, AS57976]",504,75.1117734724292
Blizzard AS57976,AS15704-1,52963,AS15704,ES,Unknown,41.4285,2.1905,37.002,AS1299,True,"[Private, AS15704, Private, AS1299, AS57976]",672,100.0
Blizzard AS57976,AS15704-1,55263,AS15704,ES,Unknown,41.3785,2.1705,31.685,AS1299,False,"[Private, AS15704, Private, AS1299, AS57976]",471,76.83523654159869
Blizzard AS57976,AS15704-1,60555,AS15704,ES,Unknown,41.4095,2.1895,33.661,AS3356,True,"[Private, AS15704, Private, AS3356, AS57976]",672,100.0
Blizzard AS57976,AS15704-1,60944,AS15704,ES,Unknown,41.3795,2.1695,33.7335,AS1299,False,"[Private, AS15704, Private, AS1299, AS57976]",375,72.39382239382239
Blizzard AS57976,AS15704-1,60944,AS15704,ES,Unknown,41.3795,2.1695,33.7335,AS1299,False,"[Private, AS15704, AS1299, AS57976]",1,0.193050193050193
Blizzard AS57976,AS200924-1,1008424,AS200924,DE,Unknown,48.4195,8.7585,15.594,AS3356,True,"[Private, AS200924, AS3356, AS57976]",672,100.0
Blizzard AS57976,AS200924-1,51017,AS200924,DE,Unknown,48.0505,8.4575,28.2085,AS1299,True,"[Private, AS200924, AS1299, AS57976]",672,100.0
Blizzard AS57976,AS20712-1,1002237,AS20712,GB,Unknown,51.5205,-0.1615,19.878500000000003,AS34984,False,"[Unknown, AS20712, AS34984, AS57976]",670,99.70238095238096
Blizzard AS57976,AS20712-1,1002821,AS20712,GB,Unknown,52.9375,-1.5015,16.612,AS34984,False,"[Private, AS20712, AS34984, AS57976]",655,97.47023809523807
Blizzard AS57976,AS20712-1,1005107,AS20712,GB,Unknown,52.4005,-0.7325,13.254,AS34984,False,"[Private, AS20712, AS34984, AS57976]",671,99.85119047619048
Blizzard AS57976,AS20712-1,1008845,AS20712,GB,Unknown,51.8295,-0.8105,13.88,AS34984,False,"[AS20712, Unknown, AS20712, AS34984, AS57976]",405,99.26470588235294
Blizzard AS57976,AS20712-1,1008846,AS20712,GB,Unknown,51.3705,-0.4505,13.917,AS34984,False,"[AS20712, Unknown, AS20712, AS34984, AS57976]",670,99.70238095238096
Blizzard AS57976,AS20712-1,1010067,AS20712,GB,Unknown,52.5905,-1.1095,11.0435,AS34984,False,"[AS20712, AS34984, AS57976]",669,99.70193740685544
Blizzard AS57976,AS20712-1,12049,AS20712,GB,Unknown,52.1015,-0.1805,18.128,AS34984,False,"[Private, AS20712, AS34984, AS57976]",671,99.85119047619048
Blizzard AS57976,AS20712-1,12359,AS20712,GB,Unknown,51.5115,-0.1205,14.742,AS34984,False,"[Private, Unknown, AS20712, AS34984, AS57976]",138,72.63157894736842
Blizzard AS57976,AS20712-1,12378,AS20712,GB,Unknown,51.6815,-1.4195,12.579,AS34984,False,"[Private, Unknown, AS20712, AS34984, AS57976]",667,99.25595238095238
Blizzard AS57976,AS20712-1,12378,AS20712,GB,Unknown,51.6815,-1.4195,12.579,AS34984,False,"[Unknown, AS20712, AS34984, AS57976]",3,0.4464285714285714
Blizzard AS57976,AS20712-1,12847,AS20712,GB,Unknown,52.5705,-0.2405,11.176,AS34984,False,"[Private, AS20712, AS34984, AS57976]",670,99.70238095238096
Blizzard AS57976,AS20712-1,16928,AS20712,GB,Unknown,51.7415,-0.4715,9.701,AS34984,False,"[Private, Unknown, AS20712, AS34984, AS57976]",671,99.85119047619048
Blizzard AS57976,AS20712-1,19533,AS20712,GB,Unknown,51.4385,-0.0315,10.574,AS34984,False,"[Private, Unknown, AS20712, AS34984, AS57976]",671,99.85119047619048
Blizzard AS57976,AS20712-1,209,AS20712,GB,Unknown,51.5115,-0.1325,15.368,AS34984,True,"[Private, Unknown, AS20712, AS34984, AS57976]",653,100.0
Blizzard AS57976,AS20712-1,21345,AS20712,GB,Unknown,52.7595,-1.2705,20.132,AS34984,True,"[AS20712, AS34984, AS57976]",672,100.0
Blizzard AS57976,AS20712-1,22037,AS20712,GB,Unknown,51.7505,-1.2615,12.575,AS34984,False,"[Private, Unknown, AS20712, AS34984, AS57976]",668,99.40476190476193
Blizzard AS57976,AS20712-1,22037,AS20712,GB,Unknown,51.7505,-1.2615,12.575,AS34984,False,"[Unknown, AS20712, AS34984, AS57976]",3,0.4464285714285714
Blizzard AS57976,AS20712-1,26102,AS20712,GB,Unknown,51.8285,-0.4725,14.6945,AS34984,False,"[Private, AS20712, Unknown, AS20712, AS34984, AS57976]",670,99.85096870342772
Blizzard AS57976,AS20712-1,3570,AS20712,GB,Unknown,51.7275,-1.3895,14.071,AS34984,True,"[Private, Unknown, AS20712, AS34984, AS57976]",660,100.0
